character,foxchild_selection_rank,moe_frequency_rank,hk_frequency_rank,edb_presence,edb_source_glyph,unihan_definition,suggested_category,cangjie,quick,reading_count,decomposition_status,top_level_operator,register_review_status,review_tasks,review_priority_band
錄,762,769,,true,錄,"copy, write down, record",education,CVNE,CE,2,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
續,763,770,,true,續,"continue, carry on; succeed",general,VFGWC,VC,2,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
育,764,771,,true,育,"produce, give birth to; educate",actions,YIB,YB,3,source-attested-unreviewed,⿱,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
足,765,772,,true,足,"foot; attain, satisfy, enough; Kangxi radical 156",general,RYO,RO,4,source-attested-unreviewed,⿱,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
呱,766,773,,true,呱,"wail, crying of child; swear at",people,RHVO,RO,5,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
息,767,774,,true,息,"rest, put stop to, end, cease",general,HUP,HP,3,source-attested-unreviewed,⿱,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
煤,768,775,,true,煤,"coal, coke, charcoal, carbon",general,FTMD,FD,2,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
耳,769,776,,true,耳,"ear; merely, only; handle; Kangxi radical 128",general,SJ,SJ,3,source-attested-unreviewed,,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
及,770,777,,true,及,extend; reach; come up to; and,actions,NHE,NE,3,source-attested-unreviewed,,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
鬥,771,778,,true,鬥,"struggle, fight, compete, contend; Kangxi radical 191",general,LN,LN,2,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
挖,772,779,,true,挖,"dig, dig out, gouge out, scoop",general,QJCN,QN,2,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
術,773,780,,true,術,"art, skill, special feat; method, technique",general,HOICN,HN,2,source-attested-unreviewed,⿴,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
